# TileOPs Benchmark Report
Generated: 2026-03-20 17:57:03

## Environment

- **Torch version**: 2.9.0+cu128
- **CUDA version (torch)**: 12.8
- **GPU model**: NVIDIA H200
- **Driver version**: 575.57.08

## conv2d

### tileops

| n | c_in | h | w | c_out | dtype | latency_ms | tflops | bandwidth_tbs |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2 | 64 | 56 | 56 | 64 | torch.float16 | 0.33 | 1.42 | 0.01 |
| 1 | 128 | 28 | 28 | 128 | torch.bfloat16 | 0.35 | 0.16 | 0.00 |
| 2 | 64 | 56 | 56 | 256 | torch.float16 | 0.01 | 18.14 | 0.36 |
| 2 | 128 | 28 | 28 | 512 | torch.float16 | 0.03 | 7.18 | 0.07 |
| 2 | 512 | 28 | 28 | 128 | torch.float16 | 0.03 | 6.49 | 0.07 |
| 1 | 256 | 14 | 14 | 1024 | torch.float16 | 0.01 | 11.70 | 0.12 |
| 1 | 512 | 7 | 7 | 2048 | torch.float16 | 0.06 | 1.71 | 0.04 |
| 2 | 64 | 56 | 56 | 256 | torch.bfloat16 | 0.03 | 6.59 | 0.13 |

### baseline

| n | c_in | h | w | c_out | dtype | latency_ms | tflops | bandwidth_tbs |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2 | 64 | 56 | 56 | 64 | torch.float16 | 0.06 | 7.51 | 0.03 |
| 1 | 128 | 28 | 28 | 128 | torch.bfloat16 | 0.03 | 2.21 | 0.02 |
| 2 | 64 | 56 | 56 | 256 | torch.float16 | 0.07 | 3.14 | 0.06 |
| 2 | 128 | 28 | 28 | 512 | torch.float16 | 0.06 | 3.52 | 0.04 |
| 2 | 512 | 28 | 28 | 128 | torch.float16 | 0.03 | 5.92 | 0.06 |
| 1 | 256 | 14 | 14 | 1024 | torch.float16 | 0.06 | 1.75 | 0.02 |
| 1 | 512 | 7 | 7 | 2048 | torch.float16 | 0.09 | 1.16 | 0.03 |
| 2 | 64 | 56 | 56 | 256 | torch.bfloat16 | 0.04 | 4.86 | 0.10 |
